Box size
0.03125,0.03125
Tile,Morse_node,Box
1044,-1,-1.0,0.1875,-0.96875,0.21875
3600,0,0.5,0.125,0.53125,0.15625
1002,1,-0.03125,-0.25,0.0,-0.21875
1827,-1,-0.34375,0.53125,-0.3125,0.5625
1431,-1,-0.71875,0.71875,-0.6875,0.75
3905,-1,0.5,0.78125,0.53125,0.8125
1830,3,-0.34375,0.5625,-0.3125,0.59375
4030,-1,0.96875,0.6875,1.0,0.71875
1906,-1,-0.34375,0.875,-0.3125,0.90625
819,1,-0.34375,-0.34375,-0.3125,-0.3125
1248,-1,-0.625,0.25,-0.59375,0.28125
1382,-1,-0.84375,0.8125,-0.8125,0.84375
2031,-1,-0.03125,0.84375,0.0,0.875
1772,3,-0.0625,0.3125,-0.03125,0.34375
1857,-1,-0.5,0.78125,-0.46875,0.8125
1461,-1,-0.625,0.71875,-0.59375,0.75
1199,-1,-0.53125,0.09375,-0.5,0.125
1598,3,-0.28125,0.1875,-0.25,0.21875
2161,0,0.125,-0.59375,0.15625,-0.5625
1548,2,-0.4375,0.0625,-0.40625,0.09375
1985,3,-0.25,0.78125,-0.21875,0.8125
1723,3,-0.03125,0.15625,0.0,0.1875
1278,-1,-0.53125,0.4375,-0.5,0.46875
1412,-1,-0.75,0.5625,-0.71875,0.59375
2061,-1,0.0625,-0.90625,0.09375,-0.875
1802,3,-0.40625,0.5,-0.375,0.53125
1936,3,-0.25,0.625,-0.21875,0.65625
1887,-1,-0.40625,0.96875,-0.375,1.0
2365,0,0.1875,-0.28125,0.21875,-0.25
2282,2,0.46875,-0.75,0.5,-0.71875
2670,-1,0.71875,-0.6875,0.75,-0.65625
2012,-1,-0.1875,0.9375,-0.15625,0.96875
2749,-1,0.9375,-0.78125,0.96875,-0.75
2091,-1,0.21875,-0.96875,0.25,-0.9375
2225,-1,0.375,-0.84375,0.40625,-0.8125
2311,1,0.03125,-0.40625,0.0625,-0.375
2874,-1,0.71875,-0.375,0.75,-0.34375
2657,0,0.625,-0.71875,0.65625,-0.6875
1966,3,-0.03125,0.5625,0.0,0.59375
2395,0,0.09375,-0.09375,0.125,-0.0625
2312,2,0.0625,-0.5,0.09375,-0.46875
2700,-1,0.8125,-0.9375,0.84375,-0.90625
2042,-1,-0.03125,0.875,0.0,0.90625
2870,0,0.65625,-0.3125,0.6875,-0.28125
1783,3,-0.09375,0.46875,-0.0625,0.5
43,-1,-0.78125,-0.96875,-0.75,-0.9375
2263,2,0.28125,-0.53125,0.3125,-0.5
3300,-1,0.375,0.3125,0.40625,0.34375
3083,0,0.09375,0.03125,0.125,0.0625
2821,0,0.5,-0.40625,0.53125,-0.375
2425,0,0.1875,-0.09375,0.21875,-0.0625
2559,0,0.46875,-0.03125,0.5,0.0
2163,0,0.15625,-0.59375,0.1875,-0.5625
256,-1,-1.0,-0.5,-0.96875,-0.46875
2730,-1,0.96875,-1.0,1.0,-0.96875
3208,0,0.3125,0.0,0.34375,0.03125
3513,-1,0.4375,0.65625,0.46875,0.6875
2638,0,0.59375,-0.6875,0.625,-0.65625
3254,3,0.40625,0.1875,0.4375,0.21875
469,-1,-0.75,-0.03125,-0.71875,0.0
73,-1,-0.9375,-0.71875,-0.90625,-0.6875
207,-1,-0.65625,-0.65625,-0.625,-0.625
3068,-1,0.9375,-0.0625,0.96875,-0.03125
2851,0,0.65625,-0.46875,0.6875,-0.4375
2589,0,0.5625,-0.78125,0.59375,-0.75
682,-1,-0.03125,-1.0,0.0,-0.96875
286,-1,-0.90625,-0.3125,-0.875,-0.28125
420,-1,-0.625,-0.4375,-0.59375,-0.40625
24,-1,-0.9375,-0.875,-0.90625,-0.84375
3238,0,0.40625,0.0625,0.4375,0.09375
3281,-1,0.25,0.40625,0.28125,0.4375
2623,-1,0.71875,-0.78125,0.75,-0.75
2406,0,0.15625,-0.1875,0.1875,-0.15625
499,-1,-0.59375,-0.09375,-0.5625,-0.0625
237,-1,-0.5625,-0.65625,-0.53125,-0.625
624,-1,-0.375,-0.625,-0.34375,-0.59375
3360,-1,0.125,0.5,0.15625,0.53125
2702,-1,0.84375,-0.9375,0.875,-0.90625
3747,-1,0.90625,0.03125,0.9375,0.0625
3485,-1,0.3125,0.71875,0.34375,0.75
450,-1,-0.71875,-0.25,-0.6875,-0.21875
54,-1,-0.84375,-0.8125,-0.8125,-0.78125
188,-1,-0.5625,-0.8125,-0.53125,-0.78125
1099,-1,-0.90625,0.28125,-0.875,0.3125
837,-1,-0.5,-0.15625,-0.46875,-0.125
3311,-1,0.46875,0.34375,0.5,0.375
754,0,-0.09375,-0.625,-0.0625,-0.59375
3049,-1,0.9375,-0.21875,0.96875,-0.1875
3960,-1,0.6875,0.875,0.71875,0.90625
2832,0,0.5,-0.375,0.53125,-0.34375
4094,-1,0.96875,0.9375,1.0,0.96875
3698,-1,0.65625,0.375,0.6875,0.40625
267,-1,-0.90625,-0.46875,-0.875,-0.4375
1312,-1,-0.875,0.5,-0.84375,0.53125
1050,-1,-0.90625,0.125,-0.875,0.15625
654,-1,-0.15625,-0.9375,-0.125,-0.90625
392,-1,-0.6875,-0.5,-0.65625,-0.46875
874,1,-0.28125,-0.25,-0.25,-0.21875
3777,-1,0.75,0.28125,0.78125,0.3125
3911,-1,0.53125,0.84375,0.5625,0.875
3515,-1,0.46875,0.65625,0.5,0.6875
480,-1,-0.625,-0.25,-0.59375,-0.21875
1129,-1,-0.8125,0.28125,-0.78125,0.3125
605,-1,-0.4375,-0.53125,-0.40625,-0.5
825,1,-0.3125,-0.34375,-0.28125,-0.3125
3990,-1,0.78125,0.6875,0.8125,0.71875
3728,-1,0.75,0.125,0.78125,0.15625
3466,-1,0.34375,0.5,0.375,0.53125
3257,4,0.4375,0.15625,0.46875,0.1875
1342,-1,-0.78125,0.6875,-0.75,0.71875
1080,-1,-0.8125,0.125,-0.78125,0.15625
684,-1,-0.0625,-0.9375,-0.03125,-0.90625
422,-1,-0.59375,-0.4375,-0.5625,-0.40625
904,1,-0.1875,-0.5,-0.15625,-0.46875
1467,-1,-0.53125,0.65625,-0.5,0.6875
3941,-1,0.625,0.84375,0.65625,0.875
3545,-1,0.3125,0.90625,0.34375,0.9375
3679,-1,0.59375,0.46875,0.625,0.5
3283,-1,0.28125,0.40625,0.3125,0.4375
1293,-1,-0.9375,0.59375,-0.90625,0.625
1031,-1,-0.96875,0.09375,-0.9375,0.125
3587,0,0.53125,0.03125,0.5625,0.0625
